# start-end<TAB>symbol<TAB>access<TAB>meaning
#
# Public EC/XRAM names are recovered from the official GCU Service and
# corroborated by /home/texsd/codes/mech-forza-control/docs/ec-register-map.md.
# A small number of internal fields are named only where firmware data flow
# establishes their role directly. Ranges name the first byte in Ghidra; the
# export script also emits the complete range in its register index.
00c0-00c1	smbus_word_data	RW	Shared two-byte SMBus word-data staging buffer used by charger and battery transactions
030e-030f	base_charge_voltage_target	R	Battery telemetry-cache voltage request consumed as big-endian high/low bytes and derated before publication to EC[0x0522:0x0523]; underlying telemetry transaction is not yet recovered
0342	battery_capacity_scale_factor	RW	One-byte capacity scaling/calibration factor seeded by vendor battery command 0x42 and subsequently clamped or adjusted by the EC capacity state machine
0402-0403	battery_design_capacity	R	Battery design capacity, uint16 little-endian, mAh
0404-0405	battery_last_full_capacity	R	Last full capacity, uint16 little-endian, mAh
0408-0409	battery_design_voltage	R	Battery design voltage, uint16 little-endian, mV
0434-0435	battery_discharge_current	R	Battery discharge current, uint16 little-endian, mA
0436-0437	battery_remaining_capacity	R	Battery remaining capacity, uint16 little-endian, mAh
0438-0439	battery_voltage	R	Battery voltage, uint16 little-endian, mV
0454	ec_firmware_version	R	EC firmware version
0456	system_id	R	Platform system identifier
045b	silent_mode_status	R	Silent-mode status
0464-0465	main_fan_rpm	R	Main fan tachometer, uint16
0466	bios_info_5	R	BIOS information byte 5
046b-046c	second_fan_rpm	R	Second fan tachometer, uint16
0476	bios_function_flags	R	BIOS function flags
047d	ec_sub_version_2	R	EC sub-version
0490	power_source	R	Power-source state
0491	battery_pack_status	R	Battery status; bits 7:6 encode a 2-, 3- or 4-cell series pack for voltage calculations
0494	battery_alert	R	Battery alert flags
0497	battery_session_flags	RW	Shared battery data-session flags; bit 0 is set after telemetry/cache initialization and cleared when the battery state machine restarts, while other bits have independent state-machine meanings
049f	bios_info_3	R	BIOS information byte 3
04a2-04a3	battery_temperature	R	Battery temperature, uint16 little-endian, 0.1 K
04a6-04a7	battery_cycle_count	R	Battery cycle count, uint16 little-endian
04ab	battery_rsoc	R	Relative state of charge, percent
050a-050b	signed_battery_current	R	Signed little-endian battery current in mA; positive while charging and negative while discharging, with the magnitude published to EC[0x0434:0x0435]
0522-0523	charge_voltage_limit	R	EC-selected battery charge-voltage limit, uint16 little-endian, mV
05b9	battery_state_gate_05b9	R	Read by a separate helper at CODE:D1AE and bank-wrapper callers; raw CODE:D1D1 does not call this helper, so it is not the direct aging-voltage gate previously inferred
05f1	ac_power_source_debounce	RW	Bit-0 power-source debounce counter; seeded with 200 or 1 by CODE:14E8 and decremented by CODE:1444 before EC[0x0490].0 changes
05f2	battery_session_start_debounce	RW	Bit-1 session-start debounce counter; ROM initialization table seeds it to 5, CODE:3C69 reloads it to 3 and CODE:3B32 decrements it before setting EC[0x0490].1
05f3	battery_session_stop_debounce	RW	Bit-1/bit-2 session-stop debounce counter; ROM initialization table seeds it to 5 and CODE:3C69 decrements it before clearing EC[0x0490].1/.2
05f4	power_source_bit5_set_debounce	RW	Power-source bit-5 debounce counter; ROM initialization table seeds it to 5 and the CODE:3BB3 path decrements it before setting EC[0x0490].5
05f5	power_source_bit5_clear_debounce	RW	Power-source bit-5/bit-6 clear debounce counter; ROM initialization table seeds it to 5 and the CODE:3CE0 path decrements it before clearing EC[0x0490].5/.6
0623	battery_discharge_overcurrent_level	RW	0-7 protection level raised above the battery discharge-current threshold and lowered below the 70 percent hysteresis threshold
0704-0705	battery_trip_point	RW	ACPI BTP0 battery remaining-capacity trip point, uint16 little-endian
0706	ap_bios_control	RW	AP/BIOS control byte
0726	ap_oem_9	RW	Custom-mode bit 7 and AC-recovery bit 3
0727	ap_oem_10	RW	Custom light bit 6 and PL4-double bit 7
0740	project_id	R	Platform project identifier
0741	ap_oem_control	RW	AP-present bit 0; also fan-alert byte
0742	support_flags_5	R	Hardware support flags 5
0743-0747	myfan2_or_tgp	RW	MyFan2 PWM levels or configurable-TGP fields
0748	lightbar_control	RW	Light-bar mode flags
0749-074b	lightbar_rgb	RW	Light-bar red, green and blue values
074c	oem_service_project_id	R	OEM service project identifier
074e	bios_oem_control	RW	Fn-lock bit 4
0751	fan_power_mode	RW	Office, Gaming, Turbo, Custom and FanBoost mode selector
0753	cpu_vrm_current_limit	RW	CPU VRM sustained-current limit, A
0754	cpu_vrm_peak_current_limit	RW	CPU VRM peak-current limit, A
075b	main_fan_duty	R	Main fan duty, raw value approximately percent times two
075c	second_fan_duty	R	Second fan duty, raw value approximately percent times two
075d	trigger_flags_2	RW	Secondary command/trigger flags
0765	support_flags_1	R	FanBoost, light bar, Win-lock and other capabilities
0766	support_flags_2	R	Silent mode, USB charging, RGB keyboard and battery protection
0767	command_trigger	RW	Win-lock, USB-charge and related action trigger
0768	command_status	R	Win-lock, FanBoost and related action status
0769-076e	rgb_keyboard_color	RW	RGB keyboard current and default RGB components
076f	rgb_keyboard_music_mode	RW	Official optional RGB-keyboard music-mode selector; 0xFE enables and 0x00 disables it on supported variants, while current project EC[0x0766].2 reports unsupported
0771-0772	rom_id	R	EC ROM identifier
0782	bios_oem_2	RW	QKey/default-mode/Fan3 support; meaning is platform dependent
0783-0785	active_power_limits	R	Current PL1, PL2 and PL4 values
0786	tcc_target	RW	TCC temperature target/enable or legacy MyFan3 PWM
0787	fan_transition_time	RW	Fan transition interval or legacy MyFan3 PWM
0788-078a	legacy_myfan3_pwm	R	Legacy MyFan3 default PWM values
078b	gpu_dstate	RW	GPU D-state or MyFan3 GPU setting
078c	keyboard_backlight	RW	Single-zone keyboard backlight control
078e	support_flags_6	R	Backlight and battery-protection capability flags
079e-07a0	fan_extra_parameters	RW	Minimum speed, minimum temperature and extra speed
07a3	bios_oem_3	R	BIOS OEM byte 3
07a4	ap_bios_flags	RW	AP/BIOS flags including QC Fn-lock
07a5	ap_oem_3	RW	AP OEM byte 3
07a6	battery_mode	RW	Battery protection mode bits 5:4; also touchpad LED on other platforms
07a7-07aa	battery_saver_power_defaults	R	Battery-saver PL1, PL2, PL4 and D defaults
